Hike_Name,Trail No.,Where,Distance,Difficulty,Cost,Latitude,Longitude,URL,Dist_Filter,Diff_Filter,Cost_Filter
Sugarbird Walk,1,Helderberg Nature Reserve,±2.9km,Easy,*From R25 p/p,-34.0541800000000,18.871410000000,,5km & less,Easy,Less than R100
Caracal,2,Helderberg Nature Reserve,±4.4km,Easy,*From R25 p/p,-34.0504800000000,18.871540000000,,5km & less,Easy,Less than R100
Protea,3,Helderberg Nature Reserve,±6.2km,Moderate,*From R25 p/p,-34.0445600000000,18.869500000000,,,Moderate,Less than R100
Watsonia,4,Helderberg Nature Reserve,±4km,Moderate,*From R25 p/p,-34.0411300000000,18.877610000000,,5km & less,Moderate,Less than R100
Leopard’s Loop,5,Helderberg Nature Reserve,±8.2km,Moderate,*From R25 p/p,-34.0421000000000,18.869250000000,,,Moderate,Less than R100
Woodie’s Walk,6,Helderberg Nature Reserve,±9km,Moderate,*From R25 p/p,-34.0407800000000,18.868380000000,,,Moderate,Less than R100
West Peak,7,Helderberg Nature Reserve,±11.5km,Strenuous,*From R25 p/p,-34.0385400000000,18.869410000000,,,Strenuous,Less than R100
The Dome,8,Helderberg Nature Reserve,±15km,Strenuous,*From R25 p/p,-34.0313400000000,18.880310000000,,,Strenuous,Less than R100
Zillah Library,,Yakima,±,Yakima Valley Libraries,Library,46.4012366366449,-120.259722074927,http://www.yvl.org,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
,,,±,,,,,,,,
